name,rest_wavelength,predicted_obs,fitted_center,fitted_center_err,amplitude,amplitude_err,fitted_sigma,fwhm_km_s,ridge_length,cwt_snr,status,feature_audit,feature_audit_flag
Mg II,2800.0,4318.8,4266.4,0.8,0.4,,6.5,1077.0,7,8.1,MARGINAL,KEEP,
Mg II_abs,2800.0,4318.8,4280.0,0.8,-0.5,,8.7,1435.0,10,11.0,MARGINAL,KEEP,
[Ne V],3426.0,5284.3,5233.6,0.8,0.1,,18.64,2515.0,10,8.0,MARGINAL,REMOVED,"Very gentle, broad hump with amplitude only 0.1. Neighborhood (5200-5280) shows many similar undulations. Noise forest: 5+ peaks of comparable amplitude within ±100 Å. Target/mean ≈ 1.1×. Feature indistinguishable from surrounding fluctuations."
[O II],3727.0,5748.6,5706.4,0.8,0.0,,12.74,1576.0,6,6.4,MARGINAL,,
Ca K_abs,3934.8,6069.1,,,,,,,,,NOT_FOUND,,
Ca H_abs,3969.6,6122.8,6133.6,0.8,-0.1,,22.55,2597.0,4,24.6,LIKELY,REMOVED,Gentle decline from the bright emission at 6072.8. Flux is still >1.0. No absorption trough — just the declining continuum. CWT over-fitted the continuum slope.
Hε,3970.1,6123.6,6072.8,0.8,1.6,,22.55,2623.0,12,24.5,MARGINAL,KEEP,
Hε_abs,3970.1,6123.6,6180.8,0.8,-0.1,,4.93,561.0,6,7.0,MARGINAL,REMOVED,"Very shallow dip on a declining slope. Flux drops from 0.650 to 0.598 across 3 pixels — this is just continuum structure, not a distinct absorption line. Amplitude -0.100 is at the noise floor."
Hδ,4102.9,6328.4,,,,,,,,,NOT_FOUND,,
Hδ_abs,4102.9,6328.4,6380.0,0.8,-0.1,,5.95,658.0,8,6.6,MARGINAL,REMOVED,Very shallow dip on a gentle decline. Flux drops from 0.535 to 0.499 across 3 pixels. Barely distinguishable from the continuum slope. Amplitude -0.100 is at the noise floor.
G-band_abs,4305.6,6641.1,6641.6,0.8,-0.0,,33.0,3510.0,6,19.3,LIKELY,REMOVED,Flux is rising through this region (6640.8=0.4112 → 6641.6=0.4193 → 6642.4=0.4319). No absorption. Amplitude is 0.000. Pure CWT phantom.
Hγ,4341.7,6696.7,,,,,,,,,NOT_FOUND,,
Hγ_abs,4341.7,6696.7,6641.6,0.8,-0.0,,33.0,3510.0,6,19.3,MARGINAL,REMOVED,Flux is rising through this region (6640.8=0.4112 → 6641.6=0.4193 → 6642.4=0.4319). No absorption. Amplitude is 0.000. Pure CWT phantom.
Hβ,4862.7,7500.3,7479.2,0.8,0.3,,24.67,2332.0,11,31.2,MARGINAL,KEEP,
Hβ_abs,4862.7,7500.3,,,,,,,,,NOT_FOUND,,
[O III]a,4960.3,7650.9,7665.6,0.8,0.1,,4.46,410.0,5,6.0,LIKELY,FLAGGED,"Genuine narrow emission feature but peak is at 7664.8 (0.4689), not 7665.6 (0.4532). CWT picked the declining side. Feature is real but position slightly offset."
[O III]b,5008.2,7724.8,7714.4,0.8,0.1,,3.65,336.0,5,6.5,LIKELY,KEEP,
Mg I_abs,5176.7,7984.7,7983.2,0.8,-0.1,,4.93,435.0,6,7.1,LIKELY,FLAGGED,🔴 OH airglow zone (>7800 Å). Amplitude may be contaminated by OH skyline residuals.; Genuine narrow absorption trough. Flux drops from ~0.34 at 7980 to 0.261 at 7983.2. Visually coherent but in the OH zone — may be atmospheric rather than astrophysical.
Na D_abs,5895.6,9093.5,9051.2,0.8,-0.1,,4.93,383.0,8,9.3,MARGINAL,REMOVED,"🔴 OH airglow zone (>7800 Å, >9000 Å dense OH forest). Amplitude may be contaminated by OH skyline residuals.; Very shallow dip. Flux drops from 0.285 to 0.275 — a 0.01 change. In the dense OH forest beyond 9000 Å. Barely distinguishable from noise."
