name,rest_wavelength,predicted_obs,fitted_center,fitted_center_err,amplitude,amplitude_err,fitted_sigma,fwhm_km_s,ridge_length,cwt_snr,status,feature_audit,feature_audit_flag
Lyα,1216.0,,,,,,,,,,NOT_FOUND,,
C IV,1549.0,6071.6,6072.8,0.8,1.6,,22.55,2623,12,24.5,LIKELY,KEEP,
He II,1640.4,6429.9,6479.9,11.4,0.16,0.03,109.09,11885,,,NOT_FOUND,,
C III],1909.0,7482.7,7479.2,0.8,0.3,,24.67,2332,11,31.2,LIKELY,KEEP,
Mg II,2800.0,10975.2,,,,,,,,,MASKED,,
Mg II_abs,2800.0,10975.2,,,,,,,,,MASKED,,
[Ne V],3426.0,13429.0,,,,,,,,,MASKED,,
[O II],3727.0,14609.8,,,,,,,,,MASKED,,
Ca K_abs,3934.8,15423.6,,,,,,,,,MASKED,,
Ca H_abs,3969.6,15560.0,,,,,,,,,MASKED,,
Hε,3970.1,15562.0,,,,,,,,,MASKED,,
Hε_abs,3970.1,15562.0,,,,,,,,,MASKED,,
Hδ,4102.9,16082.6,,,,,,,,,MASKED,,
Hδ_abs,4102.9,16082.6,,,,,,,,,MASKED,,
G-band_abs,4305.6,16877.2,,,,,,,,,MASKED,,
Hγ,4341.7,17018.7,,,,,,,,,MASKED,,
Hγ_abs,4341.7,17018.7,,,,,,,,,MASKED,,
Hβ,4862.7,19060.7,,,,,,,,,MASKED,,
Hβ_abs,4862.7,19060.7,,,,,,,,,MASKED,,
[O III]a,4960.3,19443.3,,,,,,,,,MASKED,,
[O III]b,5008.2,19631.1,,,,,,,,,MASKED,,
Mg I_abs,5176.7,20291.6,,,,,,,,,MASKED,,
Na D_abs,5895.6,23109.8,,,,,,,,,MASKED,,
[N II]a,6549.8,25674.2,,,,,,,,,MASKED,,
Hα,6564.6,25732.2,,,,,,,,,MASKED,,
Hα_abs,6564.6,25732.2,,,,,,,,,MASKED,,
[N II]b,6585.3,25813.3,,,,,,,,,MASKED,,
[S II]a,6718.3,26334.7,,,,,,,,,MASKED,,
[S II]b,6732.7,26391.1,,,,,,,,,MASKED,,
CaT1_abs,8498.0,33310.7,,,,,,,,,MASKED,,
CaT2_abs,8542.0,33483.2,,,,,,,,,MASKED,,
CaT3_abs,8662.0,33953.6,,,,,,,,,MASKED,,
