name,rest_wavelength,predicted_obs,fitted_center,fitted_center_err,amplitude,amplitude_err,fitted_sigma,fwhm_km_s,ridge_length,cwt_snr,status,feature_audit,feature_audit_flag
Mg II,2800.0,4782.2,4767.2,0.8,5.3,,12.74,1886.0,18,16.5,LIKELY,KEEP,
Mg II_abs,2800.0,4782.2,4778.4,0.8,-1.8,,5.95,878.0,4,6.0,LIKELY,REMOVED,"This is the red wing of the bright emission at 4767.2, not an absorption feature. Flux is still very high (3.1782). CWT misinterpreted the declining wing as absorption. The feature is a continuum slope, not a trough."
[Ne V],3426.0,5851.3,5906.4,0.8,0.0,,4.08,485.0,4,5.9,MARGINAL,,
[O II],3727.0,6365.4,,,,,,,,,NOT_FOUND,,
Ca K_abs,3934.8,6720.3,6641.6,0.8,-0.0,,33.0,3510.0,6,19.3,MARGINAL,REMOVED,Flux is rising through this region (6640.8=0.4112 → 6641.6=0.4193 → 6642.4=0.4319). No absorption. Amplitude is 0.000. Pure CWT phantom.
Ca H_abs,3969.6,6779.7,6824.8,0.8,-0.0,,10.53,1089.0,8,8.1,MARGINAL,REMOVED,Flux is rising through this region (6824.0=0.4206 → 6824.8=0.4376 → 6825.6=0.4416). No absorption. Amplitude is 0.000. Pure CWT phantom.
Hε,3970.1,6780.6,6856.0,0.8,0.1,,29.86,3078.0,9,8.8,MARGINAL,REMOVED,Gentle rising slope. Flux increases slowly from 0.505 to 0.526 across several pixels. Not a distinct peak — just continuum structure. Amplitude only 0.1.
Hε_abs,3970.1,6780.6,6824.8,0.8,-0.0,,10.53,1089.0,8,8.1,MARGINAL,REMOVED,Flux is rising through this region (6824.0=0.4206 → 6824.8=0.4376 → 6825.6=0.4416). No absorption. Amplitude is 0.000. Pure CWT phantom.
Hδ,4102.9,7007.4,6984.8,0.8,0.1,,3.02,307.0,9,7.6,LIKELY,FLAGGED,"Genuine narrow emission peak but the peak is at 6984.0 (0.5311), not 6984.8 (0.5233). CWT picked the declining side. Feature is real but position is slightly offset."
Hδ_abs,4102.9,7007.4,6953.6,0.8,-0.1,,9.51,967.0,19,10.8,MARGINAL,REMOVED,Very shallow dip in a declining region. Flux drops from 0.307 to 0.303 — a 0.004 change. Barely distinguishable from noise. Amplitude -0.100 is at the noise floor.
G-band_abs,4305.6,7353.6,7369.6,0.8,-0.1,,29.86,2863.0,7,28.6,LIKELY,REMOVED,"Gentle decline from 0.421 to 0.365 across several pixels. Very shallow, not a distinct absorption trough. Amplitude -0.100 is at the noise floor."
Hγ,4341.7,7415.3,7479.2,0.8,0.3,,24.68,2332.0,11,31.2,MARGINAL,KEEP,
Hγ_abs,4341.7,7415.3,7369.6,0.8,-0.1,,29.86,2863.0,7,28.6,MARGINAL,REMOVED,"Gentle decline from 0.421 to 0.365 across several pixels. Very shallow, not a distinct absorption trough. Amplitude -0.100 is at the noise floor."
Hβ,4862.7,8305.1,8367.2,0.8,0.1,,5.95,502.0,6,7.5,MARGINAL,REMOVED,🔴 OH airglow zone (>7800 Å). Amplitude may be contaminated by OH skyline residuals.; On a declining slope from 8366.4 (0.4217) to 8368.0 (0.4078). Not a distinct peak. Amplitude only 0.1.
Hβ_abs,4862.7,8305.1,8301.6,0.8,-0.1,,2.51,214.0,5,6.4,LIKELY,FLAGGED,"🔴 OH airglow zone (>7800 Å). Amplitude may be contaminated by OH skyline residuals.; Genuine absorption trough but minimum is at 8300.8 (0.1983), not 8301.6 (0.2136). Deep drop from ~0.37 at 8298. In the OH zone."
[O III]a,4960.3,8471.8,8484.8,0.8,0.0,,9.51,793.0,9,10.6,LIKELY,,
[O III]b,5008.2,8553.6,8520.0,0.8,0.0,,39.93,3311.0,6,15.9,MARGINAL,,
Mg I_abs,5176.7,8841.4,8832.0,0.8,-0.3,,2.08,166.0,9,12.7,LIKELY,FLAGGED,"🔴 OH airglow zone (>7800 Å). Amplitude may be contaminated by OH skyline residuals.; Deep, dramatic absorption trough. Flux drops from ~0.66 at 8828 to 0.117 at 8832.0. Very striking feature but in the dense OH forest zone."
